,url,title,date,text
0,https://vk.com/@evgenyponasenkov-kutuzovskii-plan-kremlya-27-12-2011?context=author_page_date&ref=author_page,Кутузовский план Кремля (27. 12. 2011). Запись в ВК,2021-02-24,"Начну, простите, с конца."
1,https://vk.com/@evgenyponasenkov-kutuzovskii-plan-kremlya-27-12-2011?context=author_page_date&ref=author_page,Кутузовский план Кремля (27. 12. 2011). Запись в ВК,2021-02-24,"Да, митинги 10-го и 24-го декабря – это замечательная веха отечественной истории, да, прежде всего, это дыхание весны и романтики (я вообще вижу в них, прежде всего, художественный смысл), но (не хочу оказаться правым) ОНИ вам ничего не отдадут."
2,https://vk.com/@evgenyponasenkov-kutuzovskii-plan-kremlya-27-12-2011?context=author_page_date&ref=author_page,Кутузовский план Кремля (27. 12. 2011). Запись в ВК,2021-02-24,"У России был один приближенный к серьезному шанс на вменяемое развитие в начале девяностых, но действовавшие тогда поколения допустили две фатальные ошибки: во-первых, не была проведена люстрация (как сделали чехи и поляки) и, во-вторых, вместо выноса архива КГБ (как это сделали с архивом Штази немцы) народ удовольствовался тем, что ему дали поиграть куском металла в виде памятника железному Феликсу, который из-за этих просчетов оказался фениксом."
3,https://vk.com/@evgenyponasenkov-kutuzovskii-plan-kremlya-27-12-2011?context=author_page_date&ref=author_page,Кутузовский план Кремля (27. 12. 2011). Запись в ВК,2021-02-24,"Немного снижая пафос, можно было бы вспомнить и про второй шанс, когда летом 2010 года Кремль исчез в дыму, и все чиновники с охранниками спасали свое здоровье вне кабинетов, но не до шуток нынче…"
4,https://vk.com/@evgenyponasenkov-kutuzovskii-plan-kremlya-27-12-2011?context=author_page_date&ref=author_page,Кутузовский план Кремля (27. 12. 2011). Запись в ВК,2021-02-24,"Собственно на этом я бы и завершил статью, однако есть еще много интересных наблюдений и открытий."
5,https://vk.com/@evgenyponasenkov-kutuzovskii-plan-kremlya-27-12-2011?context=author_page_date&ref=author_page,Кутузовский план Кремля (27. 12. 2011). Запись в ВК,2021-02-24,Какова сейчас тактика Кремля?
6,https://vk.com/@evgenyponasenkov-kutuzovskii-plan-kremlya-27-12-2011?context=author_page_date&ref=author_page,Кутузовский план Кремля (27. 12. 2011). Запись в ВК,2021-02-24,Как автор монографии «Правда о войне 1812 года» я переживаю эффект дежавю.
7,https://vk.com/@evgenyponasenkov-kutuzovskii-plan-kremlya-27-12-2011?context=author_page_date&ref=author_page,Кутузовский план Кремля (27. 12. 2011). Запись в ВК,2021-02-24,"Не вдаваясь в подробности, напомню: Кутузов был хитрым екатерининским вельможей, но слабым военачальником – он проиграл Аустерлиц и Бородино (а потом и Малоярославец), но зато старик прекрасно понимал, что ему больше не надо подставляться: мороз и пространство сделают свое дело (исторической объективности ради должен заметить, что «скифский план» был предложен русскому командованию сначала бывшим маршалом Наполеона Бернадотом, а начинал осуществляться Барклаем – Кутузов лишь продолжил и получил лавры)."
8,https://vk.com/@evgenyponasenkov-kutuzovskii-plan-kremlya-27-12-2011?context=author_page_date&ref=author_page,Кутузовский план Кремля (27. 12. 2011). Запись в ВК,2021-02-24,"Пространство – главный душитель всех политических и личностных движений в России (так захлебывались любые информационные потуги либералов, все крестьянские восстания и т.д.)."
9,https://vk.com/@evgenyponasenkov-kutuzovskii-plan-kremlya-27-12-2011?context=author_page_date&ref=author_page,Кутузовский план Кремля (27. 12. 2011). Запись в ВК,2021-02-24,"В 1812 году многие жители губерний, через которые не прошла узенькая полоска (счет на метры) Смоленского тракта, даже и не знали, что идет война."
